Lender_Type,Customer_ID,Loan_ID,Loan_Type,Loan_Purpose,Loan_Amount,Interest_Rate,Loan_Term_Months,Start_Date,End_Date,Repayment_Status,NPA_Status,Pending_Amount,Non_Repayment_EMIs,Default_Date,Recovery_Status,Collateral,Guarantor,Prepayment_Option,EMI_Amount,Name,Age,Gender,Account_Type,Credit_Score,Customer_Segment,Branch_Location
Bank,C1375,L866,Education Loan,Overseas Study,4541224,14.8,48,2024-05-06,2028-04-15,Ongoing,No,4541224,6,,Active,None,None,No,94609.0,Rohit Rao,38,F,Current,725,SME,Ahmedabad
Bank,C1420,L1649,Home Loan,Renovation,1318866,12.2,240,2025-05-05,2045-01-20,Closed,No,0,0,,Closed,House,None,Yes,5495.0,Sneha Iyer,55,F,Savings,638,Retail,Jaipur
Bank,C438,L856,Education Loan,Higher Education,1345192,11.7,180,2019-03-23,2034-01-03,Ongoing,No,1345192,0,,Active,None,Father,Yes,7473.0,Suresh Malhotra,24,F,Current,656,Corporate,Bangalore
Bank,C846,L253,Car Loan,Vehicle Purchase,2736297,13.0,120,2019-01-17,2028-11-25,Ongoing,No,2736297,0,,Active,Car,Father,Yes,22802.0,Shreya Singh,60,M,Current,720,Retail,Chennai
Bank,C217,L125,Car Loan,Vehicle Purchase,721730,7.2,60,2023-07-10,2028-06-13,Closed,No,0,0,,Closed,Car,Mother,No,12029.0,Rahul Kumar,25,F,Current,614,SME,Kolkata
Bank,C1342,L1862,Personal Loan,Wedding Expenses,546268,10.1,240,2019-09-16,2039-06-03,Closed,No,0,0,,Closed,None,Wife,No,2276.0,Pooja Rao,26,F,Savings,732,SME,Hyderabad
Bank,C66,L478,Education Loan,Higher Education,783274,9.5,36,2021-06-19,2024-06-03,Ongoing,No,783274,2,,Active,None,Wife,Yes,21758.0,Rohit Gupta,22,F,Savings,718,Retail,Bangalore
Bank,C131,L1941,Car Loan,Vehicle Purchase,622146,10.3,60,2019-12-03,2024-11-06,Ongoing,No,622146,1,,Active,Car,Mother,Yes,10369.0,Sneha Malhotra,27,M,Savings,719,SME,Kolkata
Bank,C789,L1199,Personal Loan,Medical Expenses,1649021,13.9,24,2019-01-28,2021-01-17,Closed,No,0,0,,Closed,None,Mother,No,68709.0,Kunal Rao,59,M,Current,682,SME,Hyderabad
Bank,C900,L747,Home Loan,Renovation,2821611,8.3,180,2023-06-07,2038-03-20,Ongoing,No,2821611,4,,Active,House,Wife,Yes,15676.0,Sneha Desai,60,M,Savings,665,SME,Mumbai
Bank,C1784,L179,Car Loan,Vehicle Purchase,2018897,11.3,48,2025-07-06,2029-06-15,Defaulted,No,2018897,0,2026-09-08,Recovery,Car,None,No,42060.0,Arjun Rathi,41,F,Current,677,SME,Gurugram
Bank,C59,L623,Car Loan,Vehicle Purchase,1902313,8.6,60,2022-12-07,2027-11-11,Ongoing,No,1902313,1,,Active,Car,Brother,Yes,31705.0,Rajesh Kumar,31,M,Savings,723,Retail,Jaipur
Bank,C1802,L1778,Personal Loan,Medical Expenses,830272,9.6,24,2025-02-22,2027-02-12,Ongoing,No,830272,1,,Active,None,Husband,No,34595.0,Rahul Rathi,23,F,Current,693,Corporate,Lucknow
Bank,C1047,L960,Home Loan,Residential Property,4988767,7.4,24,2023-11-25,2025-11-14,Ongoing,No,4988767,1,,Active,House,Father,No,207865.0,Shreya Joshi,23,F,Current,672,SME,Kolkata
Bank,C696,L785,Education Loan,Higher Education,2338230,13.0,180,2022-05-23,2037-03-05,Closed,No,0,0,,Closed,None,Wife,Yes,12990.0,Megha Patel,60,F,Savings,720,Corporate,Chennai
Bank,C1546,L454,Education Loan,Higher Education,2284518,14.4,240,2024-04-08,2043-12-25,Ongoing,No,2284518,3,,Active,None,Father,No,9519.0,Rahul Singh,43,M,Savings,670,Corporate,Chennai
Bank,C1949,L1031,Home Loan,Residential Property,3036808,12.6,60,2022-04-29,2027-04-03,Defaulted,No,3036808,4,2025-07-02,Recovery,House,Husband,Yes,50613.0,Shreya Nair,29,M,Savings,630,Corporate,Chennai
Bank,C1880,L225,Education Loan,Overseas Study,622825,8.4,48,2021-01-13,2024-12-23,Ongoing,No,622825,5,,Active,None,Husband,No,12976.0,Vikram Gupta,32,M,Current,778,SME,Bangalore
Bank,C969,L1114,Business Loan,Business Expansion,1913327,13.4,96,2024-12-12,2032-10-31,Ongoing,No,1913327,4,,Active,Factory,None,No,19930.0,Deepak Patel,23,F,Current,792,Corporate,Chennai
Bank,C1508,L780,Home Loan,Residential Property,4919322,8.2,120,2023-07-02,2033-05-10,Ongoing,No,4919322,6,,Active,House,Brother,No,40994.0,Anita Mehta,26,M,Savings,775,SME,Delhi
Bank,C1230,L933,Car Loan,Vehicle Purchase,4502108,7.0,120,2020-10-30,2030-09-08,Ongoing,No,4502108,5,,Active,Car,Husband,No,37518.0,Megha Bansal,26,F,Current,746,Retail,Pune
Bank,C1867,L1712,Personal Loan,Medical Expenses,807893,14.7,96,2020-07-15,2028-06-03,Ongoing,No,807893,0,,Active,None,Mother,No,8416.0,Sneha Singh,46,F,Savings,734,Retail,Bangalore
Bank,C1628,L1461,Car Loan,Vehicle Purchase,2146230,11.6,180,2021-10-17,2036-07-30,Ongoing,No,2146230,3,,Active,Car,Brother,No,11924.0,Suresh Kumar,47,F,Savings,752,Corporate,Hyderabad
Bank,C1355,L953,Car Loan,Vehicle Purchase,3710354,13.4,36,2024-09-25,2027-09-10,Ongoing,No,3710354,1,,Active,Car,Wife,Yes,103065.0,Rahul Sharma,45,F,Savings,706,SME,Delhi
Bank,C366,L191,Car Loan,Vehicle Purchase,3993995,9.9,180,2023-12-23,2038-10-05,Defaulted,Yes,3993995,4,2024-02-27,Recovery,Car,Father,Yes,22189.0,Shalini Sharma,31,M,Savings,704,Retail,Jaipur
Bank,C1907,L1343,Business Loan,Startup Funding,987242,9.5,180,2020-09-12,2035-06-26,Ongoing,No,987242,0,,Active,Factory,Father,Yes,5485.0,Arjun Patel,52,M,Current,601,SME,Lucknow
Bank,C387,L1323,Business Loan,Working Capital,3198163,14.2,60,2023-03-05,2028-02-07,Ongoing,No,3198163,0,,Active,Factory,Wife,No,53303.0,Sneha Desai,23,F,Current,783,Corporate,Kolkata
Bank,C1237,L785,Car Loan,Vehicle Purchase,722228,11.6,180,2023-07-12,2038-04-24,Ongoing,No,722228,2,,Active,Car,Wife,Yes,4012.0,Sunita Kumar,32,F,Current,747,Retail,Gurugram
Bank,C813,L587,Personal Loan,Debt Consolidation,4728637,7.9,48,2023-09-21,2027-08-31,Ongoing,No,4728637,6,,Active,None,Mother,No,98513.0,Amit Verma,43,F,Current,693,Retail,Bangalore
Bank,C1173,L134,Business Loan,Startup Funding,4360976,13.1,60,2020-01-05,2024-12-09,Ongoing,No,4360976,1,,Active,Factory,None,No,72683.0,Anjali Kapoor,54,F,Current,654,Retail,Kolkata
Bank,C1623,L1098,Education Loan,Higher Education,314865,14.2,60,2023-10-17,2028-09-20,Ongoing,No,314865,6,,Active,None,Father,No,5248.0,Rahul Iyer,44,F,Savings,731,SME,Patna
Bank,C1939,L974,Business Loan,Startup Funding,4551346,9.4,96,2020-07-20,2028-06-08,Closed,No,0,0,,Closed,Factory,Husband,Yes,47410.0,Rahul Joshi,25,M,Savings,680,Corporate,Lucknow
Bank,C1895,L1682,Education Loan,Overseas Study,2646629,12.6,24,2023-06-13,2025-06-02,Ongoing,No,2646629,4,,Active,None,Wife,Yes,110276.0,Rohit Mehta,43,F,Savings,631,Retail,Chennai
Bank,C707,L1013,Personal Loan,Medical Expenses,3492808,13.9,36,2021-04-02,2024-03-17,Ongoing,No,3492808,3,,Active,None,Father,No,97022.0,Rohit Singh,49,M,Current,667,Retail,Bangalore
Bank,C814,L1571,Car Loan,Vehicle Purchase,575177,7.1,120,2023-03-20,2033-01-26,Ongoing,No,575177,3,,Active,Car,Father,No,4793.0,Kunal Kumar,49,F,Savings,633,SME,Bangalore
Bank,C1342,L372,Home Loan,Renovation,2527791,8.5,24,2021-12-23,2023-12-13,Defaulted,Yes,2527791,1,2024-06-01,Recovery,House,None,No,105325.0,Megha Verma,29,F,Savings,798,SME,Chennai
Bank,C68,L1460,Business Loan,Working Capital,1826598,9.7,36,2021-02-03,2024-01-19,Ongoing,No,1826598,6,,Active,Factory,Father,No,50739.0,Anita Kumar,34,F,Current,675,Retail,Gurugram
Bank,C1257,L1880,Car Loan,Vehicle Purchase,4719003,10.4,60,2022-04-10,2027-03-15,Closed,No,0,0,,Closed,Car,Brother,Yes,78650.0,Rajesh Desai,44,M,Current,781,Corporate,Lucknow
Bank,C675,L1472,Education Loan,Higher Education,2770051,11.1,48,2024-12-02,2028-11-11,Ongoing,No,2770051,5,,Active,None,Wife,No,57709.0,Rohit Rathi,36,M,Current,795,Retail,Bangalore
Bank,C597,L1555,Business Loan,Working Capital,3550933,12.0,120,2022-09-25,2032-08-03,Ongoing,No,3550933,4,,Active,Factory,Husband,No,29591.0,Rohit Rathi,41,M,Savings,601,SME,Hyderabad
Bank,C596,L730,Personal Loan,Medical Expenses,2885578,9.4,96,2021-06-21,2029-05-10,Closed,No,0,0,,Closed,None,Mother,No,30058.0,Kunal Kapoor,56,M,Savings,667,Corporate,Kolkata
Bank,C720,L1829,Personal Loan,Medical Expenses,2603354,10.7,120,2021-06-09,2031-04-18,Ongoing,No,2603354,5,,Active,None,Father,No,21695.0,Kunal Bansal,55,F,Current,689,Corporate,Hyderabad
Bank,C1248,L300,Home Loan,Renovation,887664,8.1,60,2022-04-12,2027-03-17,Ongoing,No,887664,4,,Active,House,Father,No,14794.0,Suresh Patel,26,M,Savings,691,Retail,Patna
Bank,C1915,L932,Personal Loan,Debt Consolidation,4360674,14.5,48,2019-03-18,2023-02-25,Ongoing,No,4360674,3,,Active,None,None,No,90847.0,Vikram Sharma,52,M,Current,606,Retail,Kolkata
Bank,C1881,L97,Home Loan,Residential Property,3066325,11.6,24,2025-07-24,2027-07-14,Ongoing,No,3066325,6,,Active,House,None,No,127764.0,Sunita Singh,59,F,Current,780,SME,Lucknow
Bank,C126,L657,Education Loan,Overseas Study,4764525,10.1,36,2023-07-05,2026-06-19,Ongoing,No,4764525,0,,Active,None,None,Yes,132348.0,Rajesh Gupta,41,F,Savings,728,Corporate,Bangalore
Bank,C1708,L1974,Car Loan,Vehicle Purchase,216325,12.1,120,2022-09-04,2032-07-13,Ongoing,No,216325,3,,Active,Car,Father,No,1803.0,Kunal Iyer,25,M,Current,735,Corporate,Gurugram
Bank,C1033,L1415,Business Loan,Business Expansion,2123178,9.3,96,2023-05-31,2031-04-19,Closed,No,0,0,,Closed,Factory,Brother,Yes,22116.0,Arjun Gupta,27,F,Savings,790,Retail,Jaipur
Bank,C733,L1069,Car Loan,Vehicle Purchase,475499,14.1,48,2019-09-06,2023-08-16,Defaulted,No,475499,2,2026-10-17,Recovery,Car,Husband,Yes,9906.0,Pooja Gupta,34,F,Savings,688,SME,Patna
Bank,C627,L1157,Personal Loan,Wedding Expenses,2731242,11.2,36,2019-04-23,2022-04-07,Ongoing,No,2731242,5,,Active,None,Mother,Yes,75868.0,Sneha Kapoor,59,F,Current,639,Corporate,Lucknow
Bank,C1162,L997,Education Loan,Overseas Study,747761,9.7,240,2023-03-08,2042-11-23,Ongoing,No,747761,0,,Active,None,Father,Yes,3116.0,Vikram Rao,54,F,Current,605,Corporate,Ahmedabad
Bank,C1388,L605,Business Loan,Working Capital,2260582,12.2,48,2024-02-28,2028-02-07,Ongoing,No,2260582,5,,Active,Factory,None,No,47095.0,Arjun Malhotra,60,M,Current,776,Retail,Gurugram
Bank,C59,L438,Education Loan,Overseas Study,3737002,14.3,180,2022-10-29,2037-08-11,Ongoing,No,3737002,1,,Active,None,Father,No,20761.0,Sunita Iyer,60,F,Current,688,Retail,Delhi
Bank,C127,L543,Personal Loan,Wedding Expenses,1571136,9.9,36,2025-09-29,2028-09-13,Ongoing,No,1571136,3,,Active,None,Brother,No,43643.0,Sneha Malhotra,43,F,Current,610,SME,Mumbai
Bank,C391,L1309,Car Loan,Vehicle Purchase,3621615,14.6,120,2025-05-17,2035-03-26,Defaulted,Yes,3621615,6,2025-09-05,Recovery,Car,Husband,Yes,30180.0,Kunal Verma,51,F,Savings,798,SME,Gurugram
Bank,C513,L1781,Car Loan,Vehicle Purchase,2096580,10.2,180,2025-04-03,2040-01-15,Ongoing,No,2096580,2,,Active,Car,Brother,Yes,11648.0,Amit Malhotra,24,F,Current,614,Corporate,Kolkata
Bank,C1663,L867,Education Loan,Higher Education,1773429,7.5,48,2023-01-27,2027-01-06,Ongoing,No,1773429,0,,Active,None,None,Yes,36946.0,Suresh Patel,40,M,Savings,637,Corporate,Gurugram
Bank,C640,L11,Personal Loan,Medical Expenses,2996984,10.0,120,2019-06-07,2029-04-15,Ongoing,No,2996984,4,,Active,None,Wife,Yes,24975.0,Kunal Patel,30,F,Savings,719,Corporate,Ahmedabad
Bank,C1300,L1670,Home Loan,Residential Property,3293564,8.9,240,2019-05-29,2039-02-13,Closed,No,0,0,,Closed,House,Husband,No,13723.0,Sunita Mehta,21,M,Current,634,SME,Chennai
Bank,C451,L1937,Personal Loan,Wedding Expenses,3328713,11.5,48,2022-04-02,2026-03-12,Closed,No,0,0,,Closed,None,Husband,No,69348.0,Megha Joshi,30,M,Current,665,SME,Hyderabad
Bank,C1926,L1616,Personal Loan,Wedding Expenses,2639330,12.2,24,2020-06-07,2022-05-28,Ongoing,No,2639330,5,,Active,None,Wife,No,109972.0,Deepak Patel,35,M,Savings,640,SME,Kolkata
Bank,C760,L496,Education Loan,Higher Education,2605464,14.8,240,2024-08-01,2044-04-18,Ongoing,No,2605464,6,,Active,None,Husband,Yes,10856.0,Pooja Nair,37,F,Current,785,SME,Kolkata
Bank,C1921,L871,Personal Loan,Medical Expenses,3709397,14.5,24,2020-05-07,2022-04-27,Ongoing,No,3709397,5,,Active,None,Wife,Yes,154558.0,Amit Kapoor,35,M,Current,778,Corporate,Hyderabad
Bank,C1817,L183,Car Loan,Vehicle Purchase,727763,10.0,120,2024-11-10,2034-09-19,Ongoing,No,727763,2,,Active,Car,Father,Yes,6065.0,Megha Rathi,47,F,Savings,788,Retail,Jaipur
Bank,C4,L1226,Personal Loan,Debt Consolidation,626801,13.4,36,2020-05-22,2023-05-07,Ongoing,No,626801,2,,Active,None,None,No,17411.0,Anita Desai,46,M,Savings,752,SME,Chennai
Bank,C899,L441,Home Loan,Renovation,2668112,12.4,240,2019-12-16,2039-09-02,Closed,No,0,0,,Closed,House,Wife,No,11117.0,Anjali Joshi,50,F,Current,739,Corporate,Chennai
Bank,C1305,L1755,Personal Loan,Wedding Expenses,3824827,13.0,180,2019-02-10,2033-11-23,Ongoing,No,3824827,1,,Active,None,Husband,Yes,21249.0,Anita Bansal,25,F,Current,632,Retail,Mumbai
Bank,C1601,L1796,Personal Loan,Wedding Expenses,3395456,7.5,120,2022-08-30,2032-07-08,Ongoing,No,3395456,0,,Active,None,None,No,28295.0,Rohit Desai,50,M,Current,619,Retail,Jaipur
Bank,C678,L1705,Home Loan,Residential Property,505582,11.8,48,2023-02-25,2027-02-04,Ongoing,No,505582,5,,Active,House,None,No,10533.0,Kunal Rathi,51,F,Savings,723,SME,Delhi
Bank,C839,L1218,Education Loan,Overseas Study,3848618,8.3,240,2025-04-16,2045-01-01,Closed,No,0,0,,Closed,None,Mother,No,16036.0,Rajesh Malhotra,36,F,Savings,758,SME,Pune
Bank,C1647,L1581,Business Loan,Working Capital,242658,7.6,180,2022-03-21,2037-01-01,Defaulted,No,242658,2,2024-01-22,Recovery,Factory,Wife,Yes,1348.0,Rahul Desai,49,F,Savings,600,SME,Patna
Bank,C1154,L1135,Business Loan,Working Capital,438393,8.7,180,2024-03-22,2039-01-03,Ongoing,No,438393,6,,Active,Factory,Father,No,2436.0,Rahul Rathi,58,F,Savings,610,Corporate,Bangalore
Bank,C62,L237,Home Loan,Residential Property,1190320,11.8,96,2020-08-28,2028-07-17,Closed,No,0,0,,Closed,House,Mother,Yes,12399.0,Anita Desai,23,F,Savings,687,Retail,Delhi
Bank,C937,L295,Business Loan,Business Expansion,1543028,7.0,120,2021-03-13,2031-01-20,Closed,No,0,0,,Closed,Factory,Wife,Yes,12859.0,Rohit Nair,34,M,Current,707,Corporate,Ahmedabad
Bank,C578,L1145,Home Loan,Residential Property,3975199,14.7,24,2024-04-07,2026-03-28,Ongoing,No,3975199,5,,Active,House,None,No,165633.0,Pooja Nair,32,F,Current,693,Retail,Mumbai
Bank,C1513,L1543,Car Loan,Vehicle Purchase,3687448,13.4,60,2019-12-31,2024-12-04,Ongoing,No,3687448,0,,Active,Car,None,Yes,61457.0,Sunita Patel,47,M,Savings,755,Corporate,Chennai
Bank,C1317,L1580,Education Loan,Overseas Study,4223692,7.2,240,2024-12-15,2044-09-01,Closed,No,0,0,,Closed,None,Father,Yes,17599.0,Kunal Bansal,59,M,Current,763,Retail,Ahmedabad
Bank,C363,L546,Education Loan,Higher Education,3404774,10.1,240,2023-02-15,2042-11-02,Ongoing,No,3404774,1,,Active,None,Brother,Yes,14187.0,Meera Sharma,23,F,Savings,605,SME,Mumbai
Bank,C723,L360,Car Loan,Vehicle Purchase,3319988,12.8,180,2025-03-23,2040-01-04,Closed,No,0,0,,Closed,Car,None,Yes,18444.0,Suresh Patel,49,F,Current,787,SME,Patna
Bank,C1737,L303,Education Loan,Higher Education,1163164,12.7,24,2020-09-28,2022-09-18,Closed,No,0,0,,Closed,None,Brother,No,48465.0,Rahul Sharma,39,F,Savings,760,SME,Lucknow
Bank,C1576,L334,Education Loan,Higher Education,1271302,11.7,180,2022-03-29,2037-01-09,Ongoing,No,1271302,1,,Active,None,Husband,Yes,7063.0,Megha Malhotra,25,F,Savings,700,Corporate,Chennai
Bank,C1471,L1667,Home Loan,Residential Property,476175,7.4,180,2023-11-19,2038-09-01,Ongoing,No,476175,1,,Active,House,Brother,No,2645.0,Megha Singh,28,M,Savings,676,SME,Hyderabad
Bank,C1855,L998,Home Loan,Residential Property,1494680,13.8,180,2023-03-10,2037-12-21,Ongoing,No,1494680,4,,Active,House,Father,No,8304.0,Rohit Rao,50,F,Current,685,Corporate,Chennai
Bank,C161,L1107,Home Loan,Residential Property,2381245,10.5,240,2020-02-08,2039-10-26,Ongoing,No,2381245,6,,Active,House,Husband,Yes,9922.0,Arjun Rao,46,F,Current,798,Corporate,Chennai
Bank,C1416,L1860,Home Loan,Renovation,1817740,7.4,120,2024-10-22,2034-08-31,Closed,No,0,0,,Closed,House,Mother,No,15148.0,Meera Nair,43,M,Current,602,SME,Ahmedabad
Bank,C1766,L866,Home Loan,Renovation,3407903,8.6,24,2019-12-24,2021-12-13,Ongoing,No,3407903,4,,Active,House,Husband,No,141996.0,Kunal Singh,23,M,Current,782,SME,Gurugram
Bank,C1967,L450,Business Loan,Startup Funding,2825015,9.3,24,2023-12-05,2025-11-24,Ongoing,No,2825015,3,,Active,Factory,None,No,117709.0,Sunita Kapoor,26,F,Current,662,Corporate,Hyderabad
Bank,C1811,L513,Education Loan,Overseas Study,292585,12.6,180,2021-07-22,2036-05-04,Ongoing,No,292585,2,,Active,None,Husband,No,1625.0,Rajesh Joshi,24,M,Current,600,Retail,Lucknow
Bank,C1676,L1829,Personal Loan,Medical Expenses,4759327,11.2,180,2022-07-06,2037-04-18,Ongoing,No,4759327,6,,Active,None,Mother,No,26441.0,Rohit Bansal,43,F,Current,795,SME,Ahmedabad
Bank,C1539,L1781,Home Loan,Residential Property,2338950,9.7,96,2021-06-04,2029-04-23,Ongoing,No,2338950,6,,Active,House,Wife,Yes,24364.0,Megha Kapoor,49,F,Savings,795,Retail,Gurugram
Bank,C630,L795,Car Loan,Vehicle Purchase,3553304,9.4,48,2021-07-28,2025-07-07,Closed,No,0,0,,Closed,Car,Wife,Yes,74027.0,Anita Desai,23,M,Savings,643,SME,Jaipur
Bank,C1679,L1419,Home Loan,Renovation,850080,7.7,48,2019-01-15,2022-12-25,Ongoing,No,850080,6,,Active,House,Brother,Yes,17710.0,Pooja Sharma,39,F,Current,769,Retail,Hyderabad
Bank,C342,L116,Education Loan,Overseas Study,2070772,10.3,96,2020-02-19,2028-01-08,Ongoing,No,2070772,5,,Active,None,Father,Yes,21571.0,Anita Kapoor,47,F,Current,625,SME,Mumbai
Bank,C968,L923,Education Loan,Higher Education,3092894,7.8,36,2022-03-24,2025-03-08,Closed,No,0,0,,Closed,None,Mother,Yes,85914.0,Sneha Rathi,57,M,Current,771,SME,Bangalore
Bank,C1507,L696,Car Loan,Vehicle Purchase,629324,13.9,96,2024-09-12,2032-08-01,Ongoing,No,629324,6,,Active,Car,Wife,No,6555.0,Sneha Kumar,25,M,Current,601,Corporate,Delhi
Bank,C579,L1802,Education Loan,Higher Education,318031,14.1,24,2024-03-27,2026-03-17,Ongoing,No,318031,6,,Active,None,Husband,No,13251.0,Rajesh Nair,38,F,Current,649,Retail,Chennai
Bank,C631,L1428,Personal Loan,Wedding Expenses,1998642,10.1,48,2024-08-15,2028-07-25,Ongoing,No,1998642,3,,Active,None,Mother,Yes,41638.0,Deepak Desai,21,M,Current,652,Retail,Jaipur
Bank,C1953,L393,Personal Loan,Debt Consolidation,4175187,9.3,36,2024-05-20,2027-05-05,Defaulted,Yes,4175187,4,2026-03-16,Recovery,None,Brother,Yes,115977.0,Rahul Joshi,43,M,Savings,778,Retail,Chennai
Bank,C599,L1319,Personal Loan,Debt Consolidation,4117101,9.6,60,2020-02-22,2025-01-26,Ongoing,No,4117101,2,,Active,None,Mother,No,68618.0,Deepak Verma,46,F,Current,663,Corporate,Ahmedabad
Bank,C962,L314,Business Loan,Working Capital,3420029,8.3,180,2021-09-24,2036-07-07,Ongoing,No,3420029,1,,Active,Factory,Husband,No,19000.0,Deepak Bansal,36,F,Savings,711,SME,Bangalore
Bank,C240,L1781,Business Loan,Working Capital,2580260,13.2,120,2019-02-11,2028-12-20,Ongoing,No,2580260,2,,Active,Factory,Wife,Yes,21502.0,Sneha Rathi,44,F,Current,712,Corporate,Delhi
Bank,C670,L1138,Car Loan,Vehicle Purchase,4611784,9.5,180,2019-01-30,2033-11-12,Ongoing,No,4611784,4,,Active,Car,Brother,Yes,25621.0,Sunita Rathi,38,M,Savings,743,Corporate,Pune
Bank,C658,L209,Car Loan,Vehicle Purchase,1058304,13.3,48,2019-04-03,2023-03-13,Ongoing,No,1058304,4,,Active,Car,Wife,Yes,22048.0,Neha Desai,41,F,Current,660,Retail,Mumbai
Bank,C543,L731,Business Loan,Startup Funding,450993,13.0,240,2023-11-30,2043-08-17,Ongoing,No,450993,1,,Active,Factory,Husband,No,1879.0,Rohit Kapoor,28,M,Current,764,Corporate,Chennai
Bank,C337,L1074,Business Loan,Working Capital,4400442,8.4,24,2023-07-17,2025-07-06,Ongoing,No,4400442,3,,Active,Factory,Mother,No,183352.0,Rajesh Iyer,42,M,Savings,600,Corporate,Patna
Bank,C1891,L701,Education Loan,Higher Education,4984115,8.0,240,2024-05-06,2044-01-22,Ongoing,No,4984115,5,,Active,None,Brother,No,20767.0,Rahul Patel,51,F,Savings,686,Retail,Ahmedabad
Bank,C224,L631,Education Loan,Higher Education,2243592,7.1,180,2020-04-06,2035-01-18,Ongoing,No,2243592,5,,Active,None,Wife,No,12464.0,Anita Mehta,32,F,Savings,622,Retail,Gurugram
Bank,C644,L1620,Education Loan,Overseas Study,3919869,12.0,120,2025-06-09,2035-04-18,Defaulted,No,3919869,2,2024-03-04,Recovery,None,Wife,Yes,32666.0,Anita Kumar,24,F,Current,759,Corporate,Kolkata
Bank,C95,L692,Car Loan,Vehicle Purchase,536536,7.2,96,2025-01-31,2032-12-20,Ongoing,No,536536,6,,Active,Car,Husband,Yes,5589.0,Sunita Bansal,50,M,Current,775,Corporate,Lucknow
Bank,C660,L333,Car Loan,Vehicle Purchase,3721983,11.2,180,2023-03-25,2038-01-05,Ongoing,No,3721983,1,,Active,Car,None,Yes,20678.0,Rohit Sharma,42,M,Current,679,SME,Mumbai
Bank,C1813,L1770,Car Loan,Vehicle Purchase,4858046,9.8,240,2025-05-30,2045-02-14,Closed,No,0,0,,Closed,Car,Husband,No,20242.0,Suresh Bansal,48,M,Current,735,Corporate,Patna
Bank,C1287,L1814,Car Loan,Vehicle Purchase,3931134,11.4,180,2024-02-16,2038-11-29,Ongoing,No,3931134,3,,Active,Car,None,Yes,21840.0,Anita Mehta,32,F,Savings,703,Corporate,Lucknow
Bank,C1893,L101,Education Loan,Overseas Study,4468166,14.1,24,2021-08-12,2023-08-02,Ongoing,No,4468166,3,,Active,None,Father,No,186174.0,Suresh Iyer,44,M,Current,778,Corporate,Bangalore
Bank,C1555,L1327,Education Loan,Overseas Study,2608495,13.2,240,2022-12-21,2042-09-07,Ongoing,No,2608495,6,,Active,None,None,Yes,10869.0,Sunita Mehta,57,M,Savings,601,Retail,Jaipur
Bank,C1407,L979,Car Loan,Vehicle Purchase,2825027,13.3,240,2025-03-31,2044-12-16,Defaulted,Yes,2825027,3,2024-10-10,Recovery,Car,Wife,Yes,11771.0,Rahul Sharma,24,F,Savings,695,Retail,Jaipur
Bank,C1652,L1725,Personal Loan,Medical Expenses,4641337,14.5,60,2022-06-29,2027-06-03,Ongoing,No,4641337,3,,Active,None,Husband,Yes,77356.0,Arjun Rathi,42,F,Savings,684,Retail,Gurugram
Bank,C692,L1554,Business Loan,Startup Funding,1980121,10.9,180,2019-09-22,2034-07-05,Ongoing,No,1980121,2,,Active,Factory,Brother,Yes,11001.0,Anita Kumar,46,F,Current,716,Retail,Lucknow
Bank,C270,L1221,Business Loan,Working Capital,1962292,14.7,36,2025-03-02,2028-02-15,Ongoing,No,1962292,1,,Active,Factory,Husband,Yes,54508.0,Meera Nair,47,F,Current,649,SME,Pune
Bank,C1446,L1079,Home Loan,Residential Property,1359615,12.7,96,2021-05-23,2029-04-11,Ongoing,No,1359615,3,,Active,House,Brother,Yes,14163.0,Vikram Singh,34,M,Savings,612,Corporate,Mumbai
Bank,C360,L1224,Education Loan,Higher Education,1509723,13.4,180,2022-07-21,2037-05-03,Closed,No,0,0,,Closed,None,Husband,No,8387.0,Neha Rathi,31,F,Current,749,Corporate,Lucknow
Bank,C214,L768,Home Loan,Residential Property,3311526,9.3,48,2024-02-25,2028-02-04,Closed,No,0,0,,Closed,House,Mother,No,68990.0,Rohit Desai,52,F,Current,610,Corporate,Gurugram
Bank,C766,L1860,Business Loan,Startup Funding,1962343,9.0,120,2021-08-09,2031-06-18,Ongoing,No,1962343,4,,Active,Factory,Mother,No,16353.0,Rajesh Kapoor,25,F,Current,729,SME,Ahmedabad
Bank,C761,L771,Education Loan,Overseas Study,3953163,8.8,24,2020-08-09,2022-07-30,Ongoing,No,3953163,6,,Active,None,Brother,No,164715.0,Kunal Malhotra,44,F,Current,671,Retail,Kolkata
Bank,C1707,L1,Car Loan,Vehicle Purchase,2641312,7.4,240,2023-05-24,2043-02-08,Closed,No,0,0,,Closed,Car,Husband,Yes,11005.0,Meera Gupta,50,M,Savings,747,Corporate,Hyderabad
Bank,C1648,L1788,Education Loan,Higher Education,4667257,13.8,180,2021-12-10,2036-09-22,Ongoing,No,4667257,3,,Active,None,Brother,No,25929.0,Rajesh Patel,41,M,Savings,723,Retail,Jaipur
Bank,C729,L774,Business Loan,Business Expansion,4247985,8.8,180,2022-05-27,2037-03-09,Defaulted,No,4247985,5,2026-12-15,Recovery,Factory,Father,No,23600.0,Megha Nair,40,F,Savings,652,Corporate,Gurugram
Bank,C27,L1793,Personal Loan,Wedding Expenses,2317281,14.7,240,2019-11-01,2039-07-19,Ongoing,No,2317281,6,,Active,None,Husband,No,9655.0,Deepak Patel,25,M,Savings,715,Corporate,Delhi
